City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
183,Gabu,GW,2021-04-11 18:37:59,12.2833,-14.2167,98.17,13,76,3.0
184,Mangrol,IN,2021-04-11 18:37:59,21.1167,70.1167,79.41,73,0,13.18
185,Susangerd,IR,2021-04-11 18:38:00,31.5608,48.1831,77.0,41,75,4.61
186,Tual,ID,2021-04-11 18:38:00,-5.6667,132.75,82.65,74,25,8.66
187,Linxia,CN,2021-04-11 18:34:45,35.6003,103.2064,46.35,67,69,2.46
188,Palo Alto,US,2021-04-11 18:34:45,37.4419,-122.143,64.0,66,1,5.75
189,Meulaboh,ID,2021-04-11 18:38:00,4.1363,96.1285,77.18,87,88,3.44
190,Chongwe,ZM,2021-04-11 18:38:01,-15.3292,28.682,64.4,77,0,3.44
191,Chumikan,RU,2021-04-11 18:38:01,54.7183,135.315,18.34,67,2,18.5
192,Taltal,CL,2021-04-11 18:37:30,-25.4,-70.4833,67.89,69,26,5.55
193,Henties Bay,NA,2021-04-11 18:38:01,-22.116,14.2845,73.0,68,2,1.99
194,Busing,PH,2021-04-11 18:38:02,13.1514,122.9714,78.57,76,100,9.6
195,Parabel,RU,2021-04-11 18:33:12,58.6978,81.4825,35.28,90,100,11.7
196,Coquimbo,CL,2021-04-11 18:38:02,-29.9533,-71.3436,62.6,72,0,16.11
197,Muisne,EC,2021-04-11 18:38:03,0.6,-80.0333,82.4,89,75,9.22
198,Neuquen,AR,2021-04-11 18:38:03,-38.9516,-68.0591,75.2,33,0,8.05
199,Mafinga,TZ,2021-04-11 18:38:04,-7.25,35.0667,67.77,79,71,4.81
200,Piacabucu,BR,2021-04-11 18:38:04,-10.4056,-36.4344,81.48,74,90,11.12
201,Sibolga,ID,2021-04-11 18:37:51,1.7427,98.7792,76.03,91,97,4.03
202,Bertoua,CM,2021-04-11 18:38:05,4.5833,13.6833,71.17,86,100,7.07
203,Eirunepe,BR,2021-04-11 18:38:05,-6.6603,-69.8736,90.55,49,65,2.66
204,Dimitrovgrad,RU,2021-04-11 18:38:06,54.2139,49.6184,39.2,100,90,8.95
205,Toftlund,DK,2021-04-11 18:38:06,55.1886,9.0693,37.4,87,75,10.36
206,Honiara,SB,2021-04-11 18:38:07,-9.4333,159.95,76.46,86,78,2.66
207,Dawlatabad,AF,2021-04-11 18:38:07,36.4141,64.9053,67.51,29,33,2.19
208,Koygorodok,RU,2021-04-11 18:38:08,60.445,50.9968,32.47,93,3,5.14
209,Shihezi,CN,2021-04-11 18:38:08,44.3,86.0333,51.91,26,0,5.23
210,Bratsk,RU,2021-04-11 18:38:09,56.1325,101.6142,28.4,34,100,4.47
211,Solnechnyy,RU,2021-04-11 18:34:47,50.7214,136.6319,29.5,76,99,2.37
212,Mikuni,JP,2021-04-11 18:38:10,36.2171,136.1519,41.0,87,20,2.3
213,Swan Hill,AU,2021-04-11 18:38:10,-35.3378,143.5544,46.11,81,2,6.53
214,San Cristobal,VE,2021-04-11 18:38:10,7.7669,-72.225,91.4,55,40,11.5
215,Aksha,RU,2021-04-11 18:35:11,50.2814,113.2867,22.71,44,22,8.93
216,Lensk,RU,2021-04-11 18:38:11,60.7253,114.9278,-1.8,99,36,4.9
217,Arman,RU,2021-04-11 18:38:11,59.7,150.1667,7.79,91,100,12.91
218,Lieksa,FI,2021-04-11 18:38:12,63.3167,30.0167,31.73,87,29,8.37
219,Devils Lake,US,2021-04-11 18:36:41,48.1128,-98.8651,55.4,38,1,13.8
220,Senekal,ZA,2021-04-11 18:38:12,-28.3197,27.6208,67.64,36,1,5.5
221,Storm Lake,US,2021-04-11 18:38:14,42.6411,-95.2097,57.2,50,1,11.5
222,Mugur-Aksy,RU,2021-04-11 18:38:14,50.35,90.5,17.8,47,97,4.74
