City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
271,Margate,GB,51.3813,1.3862,36.0,73,83,5.7,broken clouds
272,Sao Marcos,BR,-28.9711,-51.0681,72.0,77,43,3.0,scattered clouds
273,Upernavik,GL,72.7868,-56.1549,32.76,66,100,26.71,overcast clouds
274,Esperance,AU,-33.8667,121.9,62.6,67,100,21.85,light rain
275,Porto Nacional,BR,-10.7081,-48.4172,82.4,74,20,1.72,few clouds
276,Marsh Harbour,BS,26.5412,-77.0636,76.62,78,66,15.19,moderate rain
277,Talnakh,RU,69.4865,88.3972,23.14,93,100,13.76,overcast clouds
278,Ulaanbaatar,MN,47.9077,106.8832,3.2,66,0,2.24,clear sky
279,Adeje,ES,28.1227,-16.726,68.0,73,20,4.61,few clouds
280,Ternate,ID,0.8,127.4,80.92,79,95,6.85,overcast clouds
281,Semey,KZ,50.4111,80.2275,32.32,81,0,6.53,clear sky
282,Yaring,TH,6.8662,101.3689,78.39,84,9,7.07,clear sky
283,Chernyshevskiy,RU,63.0128,112.4714,0.14,96,41,1.7,scattered clouds
284,Lorengau,PG,-2.0226,147.2712,77.4,89,100,18.57,moderate rain
285,Bilma,NE,18.6853,12.9164,82.8,9,9,9.8,clear sky
286,Harsin,IR,34.2721,47.5861,49.51,76,1,4.56,clear sky
287,Saint-Joseph,RE,-21.3667,55.6167,77.0,73,0,4.61,clear sky
288,Komsomolskiy,UZ,40.4272,71.7189,51.8,50,4,4.61,clear sky
289,Kloulklubed,PW,7.0419,134.2556,73.4,100,90,6.91,overcast clouds
290,Itacoatiara,BR,-3.1431,-58.4442,75.56,94,99,2.46,overcast clouds
291,Codrington,AU,-38.2667,141.9667,58.06,64,80,9.08,broken clouds
292,Lixourion,GR,38.2019,20.4314,53.38,64,51,1.48,broken clouds
293,Yeppoon,AU,-23.1333,150.7333,69.8,32,40,12.66,scattered clouds
294,Grodkow,PL,50.6984,17.3845,48.99,54,66,5.99,broken clouds
295,Orlik,RU,52.5178,99.825,11.28,78,88,2.89,overcast clouds
296,Alakurtti,RU,66.9672,30.3491,25.0,89,62,1.01,broken clouds
297,Nome,US,64.5011,-165.4064,25.0,86,90,26.46,snow
298,Mahebourg,MU,-20.4081,57.7,77.0,94,75,6.91,broken clouds
299,Oistins,BB,13.0667,-59.5333,78.8,69,75,13.8,volcanic ash
300,Yuzhno-Kurilsk,RU,44.0306,145.8556,40.86,69,24,9.62,few clouds
301,Mayumba,GA,-3.432,10.6554,79.16,85,59,0.87,light rain
302,Muravlenko,RU,63.7898,74.523,31.57,88,93,16.71,overcast clouds
303,Ginir,ET,7.1333,40.7,58.51,80,38,3.98,scattered clouds
304,Trzebiatow,PL,54.0615,15.2648,45.0,93,85,11.25,overcast clouds
305,Asfi,MA,32.2994,-9.2372,60.94,83,80,15.82,broken clouds
306,Coihaique,CL,-45.5752,-72.0662,60.8,55,75,12.66,light rain
307,Namatanai,PG,-3.6667,152.4333,80.06,81,100,6.55,light rain
308,Varadero,CU,23.1536,-81.2514,87.8,58,40,16.11,scattered clouds
309,Khandbari,NP,27.3747,87.2039,63.99,14,72,5.5,broken clouds
310,Manuk Mangkaw,PH,4.8,119.85,82.96,75,83,8.05,broken clouds
311,Honiara,SB,-9.4333,159.95,79.45,85,100,2.44,overcast clouds
312,Kamen-Na-Obi,RU,53.7884,81.3423,27.64,97,91,3.31,overcast clouds
313,Westport,US,41.1415,-73.3579,50.0,93,90,18.41,moderate rain
314,Quirinopolis,BR,-18.4483,-50.4517,72.9,42,0,4.43,clear sky
315,Jiazi,CN,22.8779,116.067,69.44,84,83,6.6,broken clouds
316,Kaitangata,NZ,-46.2817,169.8464,61.0,81,51,5.01,broken clouds
317,Timra,SE,62.487,17.3257,32.0,74,90,4.61,overcast clouds
318,Tornio,FI,65.8481,24.1466,24.8,93,0,5.75,clear sky
319,Blegny,BE,50.6728,5.724,36.0,80,0,5.75,clear sky
320,Naryan-Mar,RU,67.6713,53.087,31.42,92,100,21.97,overcast clouds
321,Navashino,RU,55.5292,42.2003,35.04,90,99,4.97,overcast clouds
322,Taree,AU,-31.9,152.4667,57.99,50,0,5.79,clear sky
323,Bhanpuri,IN,21.1,80.9167,79.57,41,68,2.55,broken clouds
324,Hami,CN,42.8,93.45,52.07,36,100,13.98,overcast clouds
325,Pontes E Lacerda,BR,-15.2261,-59.3353,73.13,92,56,2.3,broken clouds
326,Mount Isa,AU,-20.7333,139.5,69.8,28,0,12.66,clear sky
327,Lasa,IT,46.6166,10.7002,48.0,100,90,6.91,mist
328,Nikko,JP,36.75,139.6167,49.32,64,58,5.08,broken clouds
329,Indiana,US,40.0003,-86.2503,51.01,93,90,11.5,mist
330,Hudson Bay,CA,52.85,-102.3842,30.15,95,100,13.47,snow
331,Mabaruma,GY,8.2,-59.7833,74.68,95,100,2.91,overcast clouds
332,Vanavara,RU,60.34,102.2797,21.58,99,98,1.45,overcast clouds
333,Kavaratti,IN,10.5669,72.642,82.6,70,2,5.21,clear sky
334,Tevriz,RU,57.509,72.4042,34.57,82,96,8.5,overcast clouds
335,Tual,ID,-5.6667,132.75,82.56,74,27,8.97,scattered clouds
336,Erenhot,CN,43.6475,111.9767,30.94,60,100,21.59,overcast clouds
337,Aklavik,CA,68.2191,-135.0107,10.4,34,15,5.75,few clouds
338,Yulara,AU,-25.2406,130.9889,57.2,54,7,9.22,clear sky
339,Hobyo,SO,5.3505,48.5268,81.86,62,40,12.39,scattered clouds
340,Tabou,CI,4.423,-7.3528,80.37,84,52,6.67,broken clouds
341,Riacho De Santana,BR,-13.6092,-42.9389,76.75,57,100,6.38,overcast clouds
342,Junin,AR,-34.5838,-60.9433,60.01,30,1,4.81,clear sky
343,Bonfim,BR,3.0833,-59.95,74.37,89,100,1.3,overcast clouds
344,Manjacaze,MZ,-24.7117,33.8828,65.66,95,0,5.12,clear sky
345,Kavarskas,LT,55.4333,24.9167,49.42,69,100,13.02,overcast clouds
346,Deep River,CA,46.1001,-77.4995,62.6,55,1,6.91,clear sky
347,Pecos,US,31.4229,-103.4932,91.4,5,1,11.5,clear sky
