City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
406,Port Hedland,AU,77.0,broken clouds,-20.3167,118.5667,The Esplanade Hotel
411,Ladario,BR,76.96,broken clouds,-19.0047,-57.6017,Hotel Fazenda 4 cantos
414,Port-Gentil,GA,77.0,few clouds,-0.7193,8.7815,Fengshui Residence
415,Kununurra,AU,80.6,scattered clouds,-15.7667,128.7333,Hotel Kununurra
416,La Guaira,VE,78.39,overcast clouds,10.599,-66.9346,Posada Lomas de Galipan
420,Maroua,CM,87.53,few clouds,10.591,14.3159,Maroua Palace
421,Luwuk,ID,80.47,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
431,Port Keats,AU,81.09,broken clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
436,Kokologo,BF,87.8,clear sky,12.1897,-1.8856,
437,Thinadhoo,MV,82.65,broken clouds,0.5333,72.9333,
445,Bousso,TD,86.09,broken clouds,10.4795,16.7117,
447,Cockburn Town,TC,78.8,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
448,Tessaoua,NE,82.53,few clouds,13.7574,7.9874,Benin Dan Kaabou Heberge
454,San Policarpo,PH,78.82,overcast clouds,12.1791,125.5072,JM Lodge
456,Crestline,US,80.6,haze,34.242,-117.2856,Sleepy Hollow Cabins & Hotel
458,Sola,VU,84.2,overcast clouds,-13.8833,167.55,Leumerus Bungalows
460,Bara,NG,85.33,broken clouds,10.3744,10.7288,
464,Santa Rosa,PH,80.01,scattered clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
473,Luganville,VU,82.81,overcast clouds,-15.5333,167.1667,The Espiritu Hotel
474,Touros,BR,78.8,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
476,Awbari,LY,77.99,scattered clouds,26.5921,12.7805,فندق أوباري
477,Dickinson,US,82.99,clear sky,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
478,Lawton,US,84.2,clear sky,34.6087,-98.3903,Holiday Inn Express & Suites Lawton-Fort Sill
479,Takoradi,GH,80.82,overcast clouds,4.8845,-1.7554,Raybow International Hotel
480,Virginia Beach,US,78.8,broken clouds,36.8529,-75.97800000000001,Hilton Virginia Beach Oceanfront
481,Yaan,NG,79.39,overcast clouds,7.3833,8.5667,
482,Nalut,LY,79.25,overcast clouds,30.3333,10.85,
486,Liberal,US,77.0,clear sky,37.0431,-100.921,Hampton Inn & Suites Liberal
488,Trincomalee,LK,80.76,overcast clouds,8.5711,81.2335,Welcombe Hotel
490,Sechura,PE,75.97,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
493,Sorong,ID,80.06,broken clouds,-0.8833,131.25,waigo splash hotel
495,Abu Zabad,SD,79.36,scattered clouds,12.35,29.25,حامد محمد نور
502,Padang,ID,75.2,overcast clouds,-0.9492,100.3543,Mercure Padang
503,Mareeba,AU,80.6,clear sky,-17.0,145.4333,Trinity Plains Tourist Park
510,Orocue,CO,82.65,overcast clouds,4.7912,-71.3354,Hotel Brisas de San Miguel
511,Manukan,PH,79.79,scattered clouds,8.5333,123.1,
517,Tefe,BR,78.8,scattered clouds,-3.3542,-64.7114,Aracati Hotel
519,Mangrol,IN,77.81,clear sky,21.1167,70.1167,Hotel The Royal Honours
532,Cururupu,BR,76.08,broken clouds,-1.8283,-44.8683,Pousada Través'cia
534,Miandrivazo,MG,77.18,overcast clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
545,Noumea,NC,79.0,moderate rain,-22.2763,166.4572,Hôtel Le Lagon
546,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
555,Meadow Lake,US,79.0,broken clouds,34.8014,-106.5436,JKL Inc. R.V Park and Storage
559,Salinopolis,BR,78.64,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
567,Winslow,US,80.6,clear sky,35.0242,-110.6974,Best Western Plus Winslow Inn
568,Merauke,ID,79.83,broken clouds,-8.4667,140.3333,
573,Areia Branca,BR,81.09,overcast clouds,-4.9561,-37.1369,Areia Branca Apart Hotel
575,Matara,LK,76.23,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
576,Adrar,MR,78.44,few clouds,20.5022,-10.0711,
579,Kankon,IN,77.0,scattered clouds,15.0167,74.0167,Palolem Beach Resort
584,Jawhar,SO,79.0,overcast clouds,2.7809,45.5005,cosoble spare parts
585,Angoche,MZ,77.14,overcast clouds,-16.2325,39.9086,Guest House HESADA
587,Auki,SB,77.74,overcast clouds,-8.7676,160.7034,Auki Motel
588,Cabedelo,BR,75.2,broken clouds,-6.9811,-34.8339,Hotel Pigalle
589,Santarem,BR,77.0,few clouds,-2.4431,-54.7083,Ecotur Lodge
591,Araouane,ML,88.16,clear sky,18.9048,-3.5265,
592,Galle,LK,77.61,overcast clouds,6.0367,80.217,Amangalla
596,Marica,BR,80.6,clear sky,-22.9194,-42.8186,Marica Hills
597,Cap Malheureux,MU,79.0,light rain,-19.9842,57.6142,Pereybere Hotel & Spa
601,Bonthe,SL,80.42,light rain,7.5264,-12.505,Bonthe Holiday Village
607,Laguna,US,82.99,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
609,Bairiki,KI,84.2,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
611,Puerto Baquerizo Moreno,EC,80.6,broken clouds,-0.9,-89.6,Hotel los Algarrobos
615,Oum Hadjer,TD,82.85,clear sky,13.2954,19.6966,
617,Akyab,MM,77.61,few clouds,20.15,92.9,Hotel Memory
624,Coahuayana,MX,84.2,scattered clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
627,Newnan,US,75.2,clear sky,33.3807,-84.7997,La Quinta Inn & Suites by Wyndham Atlanta South - Newnan
635,Puerto Narino,CO,84.2,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
636,Ontario,US,80.01,broken clouds,34.0633,-117.6509,American Inn
638,Sao Jose Da Coroa Grande,BR,77.76,light rain,-8.8978,-35.1478,Crôa Mares Hotel
641,Kasiri,SL,79.74,few clouds,8.9412,-13.1148,
643,Vao,NC,76.08,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
647,Atar,MR,80.35,clear sky,20.5169,-13.0499,Oumou Elghoura
650,Arlit,NE,85.8,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
655,Yopal,CO,77.14,moderate rain,5.3378,-72.3959,GHL Style Yopal
656,La Union,PE,78.73,broken clouds,-5.4,-80.75,Los Portales
661,Jasper,US,77.0,clear sky,37.2001,-94.3502,Guest House Motel
662,Point Pedro,LK,81.39,broken clouds,9.8167,80.2333,Gtr homes
663,Bontang,ID,77.18,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
665,Contai,IN,79.03,scattered clouds,21.7786,87.7536,PATHFINDER
675,Bandarbeyla,SO,78.24,clear sky,9.4942,50.8122,JABIR HOTEL
677,Kassala,SD,76.55,clear sky,15.450999999999999,36.4,Amassi Hotel Gash
678,Gizo,SB,82.0,light rain,-8.103,156.8419,Imagination Island
679,Paciran,ID,77.72,broken clouds,-6.8767,112.3761,Tanjung Kodok Beach Resort
680,Rach Gia,VN,80.6,scattered clouds,10.0167,105.0833,Nhà Hàng Hòa Giang
686,Kochi,IN,77.0,mist,9.9399,76.2602,Hotel Abad
690,Tagusao,PH,79.18,broken clouds,9.1924,117.8141,Toledo
691,Mahibadhoo,MV,82.65,few clouds,3.7833,72.9667,Omadhoo Inn
698,Maumere,ID,79.02,scattered clouds,-8.6199,122.2111,Sylvia Hotel
701,Belmonte,BR,77.0,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
707,Buin,CL,82.4,clear sky,-33.7333,-70.75,Paihuen
708,Dingle,PH,78.31,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
712,Lafiagi,NG,85.05,scattered clouds,8.8667,5.4167,Bus group international
713,Islamkot,PK,77.52,clear sky,24.6997,70.17699999999999,Haji Hotel
